No,Tutupan Lahan,Curah Hujan,Kerapatan Sungai,Jarak dari Sungai,Ketinggian Lahan,Kemiringan Lereng,Jenis Tanah,Kelas Bahaya Banjir,Desa/Kelurahan,Luas Km²
31,Perkebunan/Kebun,2500 - 3000 mm/tahun,"0,62 - 1,44 km/km²",0 - 25 m,100 - 200 m,15 - 25 %,Regosol,Tinggi,Condongcatur,0.001844
32,Permukiman,2500 - 3000 mm/tahun,"0,62 - 1,44 km/km²",0 - 25 m,100 - 200 m,15 - 25 %,Regosol,Tinggi,Condongcatur,0.00001
33,Perkebunan/Kebun,2500 - 3000 mm/tahun,"0,62 - 1,44 km/km²",25 - 100 m,100 - 200 m,15 - 25 %,Regosol,Sedang,Condongcatur,0.00265
34,Sawah,2500 - 3000 mm/tahun,"0,62 - 1,44 km/km²",25 - 100 m,100 - 200 m,15 - 25 %,Regosol,Tinggi,Condongcatur,0.000565
35,Semak Belukar,2500 - 3000 mm/tahun,"0,62 - 1,44 km/km²",25 - 100 m,100 - 200 m,15 - 25 %,Regosol,Sedang,Condongcatur,0.000089
36,Permukiman,2500 - 3000 mm/tahun,"0,62 - 1,44 km/km²",25 - 100 m,100 - 200 m,15 - 25 %,Regosol,Tinggi,Condongcatur,0.002412
37,Sawah,2500 - 3000 mm/tahun,"0,62 - 1,44 km/km²",100 - 250 m,100 - 200 m,15 - 25 %,Regosol,Sedang,Condongcatur,0.000218
38,Semak Belukar,2500 - 3000 mm/tahun,"0,62 - 1,44 km/km²",100 - 250 m,100 - 200 m,15 - 25 %,Regosol,Sedang,Condongcatur,0.000001
39,Permukiman,2500 - 3000 mm/tahun,"0,62 - 1,44 km/km²",100 - 250 m,100 - 200 m,15 - 25 %,Regosol,Tinggi,Condongcatur,0.002462
40,Perkebunan/Kebun,2500 - 3000 mm/tahun,"0,62 - 1,44 km/km²",0 - 25 m,100 - 200 m, 25 - 45 %,Regosol,Sedang,Condongcatur,0.000396
41,Perkebunan/Kebun,2500 - 3000 mm/tahun,"0,62 - 1,44 km/km²",25 - 100 m,100 - 200 m, 25 - 45 %,Regosol,Sedang,Condongcatur,0.000125
42,Sawah,2500 - 3000 mm/tahun,"0,62 - 1,44 km/km²",25 - 100 m,100 - 200 m, 25 - 45 %,Regosol,Sedang,Condongcatur,0.000055
43,Permukiman,2500 - 3000 mm/tahun,"0,62 - 1,44 km/km²",25 - 100 m,100 - 200 m, 25 - 45 %,Regosol,Tinggi,Condongcatur,0.000009
44,Sawah,2500 - 3000 mm/tahun,"0,62 - 1,44 km/km²",100 - 250 m,100 - 200 m, 25 - 45 %,Regosol,Sedang,Condongcatur,0.000151
45,Perkebunan/Kebun,2500 - 3000 mm/tahun,"1,44 - 2,27 km/km²",0 - 25 m,100 - 200 m,0 - 8 %,Regosol,Tinggi,Condongcatur,0.002055
46,Sawah,2500 - 3000 mm/tahun,"1,44 - 2,27 km/km²",0 - 25 m,100 - 200 m,0 - 8 %,Regosol,Tinggi,Condongcatur,0.003651
47,Semak Belukar,2500 - 3000 mm/tahun,"1,44 - 2,27 km/km²",0 - 25 m,100 - 200 m,0 - 8 %,Regosol,Tinggi,Condongcatur,0.001381
48,Permukiman,2500 - 3000 mm/tahun,"1,44 - 2,27 km/km²",0 - 25 m,100 - 200 m,0 - 8 %,Regosol,Tinggi,Condongcatur,0.000254
49,Perkebunan/Kebun,2500 - 3000 mm/tahun,"1,44 - 2,27 km/km²",25 - 100 m,100 - 200 m,0 - 8 %,Regosol,Tinggi,Condongcatur,0.000903
50,Sawah,2500 - 3000 mm/tahun,"1,44 - 2,27 km/km²",25 - 100 m,100 - 200 m,0 - 8 %,Regosol,Tinggi,Condongcatur,0.001762
51,Semak Belukar,2500 - 3000 mm/tahun,"1,44 - 2,27 km/km²",25 - 100 m,100 - 200 m,0 - 8 %,Regosol,Sedang,Condongcatur,0.002428
52,Permukiman,2500 - 3000 mm/tahun,"1,44 - 2,27 km/km²",25 - 100 m,100 - 200 m,0 - 8 %,Regosol,Tinggi,Condongcatur,0.009867
53,Sawah,2500 - 3000 mm/tahun,"1,44 - 2,27 km/km²",100 - 250 m,100 - 200 m,0 - 8 %,Regosol,Tinggi,Condongcatur,0.003065
54,Semak Belukar,2500 - 3000 mm/tahun,"1,44 - 2,27 km/km²",100 - 250 m,100 - 200 m,0 - 8 %,Regosol,Sedang,Condongcatur,0.002353
55,Permukiman,2500 - 3000 mm/tahun,"1,44 - 2,27 km/km²",100 - 250 m,100 - 200 m,0 - 8 %,Regosol,Tinggi,Condongcatur,0.023972
56,Perkebunan/Kebun,2500 - 3000 mm/tahun,"1,44 - 2,27 km/km²",0 - 25 m,100 - 200 m,8 - 15 %,Regosol,Tinggi,Condongcatur,0.00256
57,Sawah,2500 - 3000 mm/tahun,"1,44 - 2,27 km/km²",0 - 25 m,100 - 200 m,8 - 15 %,Regosol,Tinggi,Condongcatur,0.001743
58,Semak Belukar,2500 - 3000 mm/tahun,"1,44 - 2,27 km/km²",0 - 25 m,100 - 200 m,8 - 15 %,Regosol,Sedang,Condongcatur,0.000416
59,Permukiman,2500 - 3000 mm/tahun,"1,44 - 2,27 km/km²",0 - 25 m,100 - 200 m,8 - 15 %,Regosol,Tinggi,Condongcatur,0.000381
60,Perkebunan/Kebun,2500 - 3000 mm/tahun,"1,44 - 2,27 km/km²",25 - 100 m,100 - 200 m,8 - 15 %,Regosol,Sedang,Condongcatur,0.000877
61,Sawah,2500 - 3000 mm/tahun,"1,44 - 2,27 km/km²",25 - 100 m,100 - 200 m,8 - 15 %,Regosol,Tinggi,Condongcatur,0.001047
62,Semak Belukar,2500 - 3000 mm/tahun,"1,44 - 2,27 km/km²",25 - 100 m,100 - 200 m,8 - 15 %,Regosol,Sedang,Condongcatur,0.003228
63,Permukiman,2500 - 3000 mm/tahun,"1,44 - 2,27 km/km²",25 - 100 m,100 - 200 m,8 - 15 %,Regosol,Tinggi,Condongcatur,0.013277
64,Sawah,2500 - 3000 mm/tahun,"1,44 - 2,27 km/km²",100 - 250 m,100 - 200 m,8 - 15 %,Regosol,Tinggi,Condongcatur,0.004327
65,Semak Belukar,2500 - 3000 mm/tahun,"1,44 - 2,27 km/km²",100 - 250 m,100 - 200 m,8 - 15 %,Regosol,Sedang,Condongcatur,0.001652
66,Permukiman,2500 - 3000 mm/tahun,"1,44 - 2,27 km/km²",100 - 250 m,100 - 200 m,8 - 15 %,Regosol,Tinggi,Condongcatur,0.020159
67,Perkebunan/Kebun,2500 - 3000 mm/tahun,"1,44 - 2,27 km/km²",0 - 25 m,100 - 200 m,15 - 25 %,Regosol,Sedang,Condongcatur,0.000909
68,Sawah,2500 - 3000 mm/tahun,"1,44 - 2,27 km/km²",0 - 25 m,100 - 200 m,15 - 25 %,Regosol,Tinggi,Condongcatur,0.000491
69,Semak Belukar,2500 - 3000 mm/tahun,"1,44 - 2,27 km/km²",0 - 25 m,100 - 200 m,15 - 25 %,Regosol,Sedang,Condongcatur,0.000083
70,Permukiman,2500 - 3000 mm/tahun,"1,44 - 2,27 km/km²",0 - 25 m,100 - 200 m,15 - 25 %,Regosol,Tinggi,Condongcatur,0.000043
71,Perkebunan/Kebun,2500 - 3000 mm/tahun,"1,44 - 2,27 km/km²",25 - 100 m,100 - 200 m,15 - 25 %,Regosol,Sedang,Condongcatur,0.000361
72,Sawah,2500 - 3000 mm/tahun,"1,44 - 2,27 km/km²",25 - 100 m,100 - 200 m,15 - 25 %,Regosol,Tinggi,Condongcatur,0.000878
73,Semak Belukar,2500 - 3000 mm/tahun,"1,44 - 2,27 km/km²",25 - 100 m,100 - 200 m,15 - 25 %,Regosol,Sedang,Condongcatur,0.001104
74,Permukiman,2500 - 3000 mm/tahun,"1,44 - 2,27 km/km²",25 - 100 m,100 - 200 m,15 - 25 %,Regosol,Tinggi,Condongcatur,0.004155
75,Sawah,2500 - 3000 mm/tahun,"1,44 - 2,27 km/km²",100 - 250 m,100 - 200 m,15 - 25 %,Regosol,Sedang,Condongcatur,0.000045
76,Permukiman,2500 - 3000 mm/tahun,"1,44 - 2,27 km/km²",100 - 250 m,100 - 200 m,15 - 25 %,Regosol,Tinggi,Condongcatur,0.002585
77,Perkebunan/Kebun,2500 - 3000 mm/tahun,"1,44 - 2,27 km/km²",0 - 25 m,100 - 200 m, 25 - 45 %,Regosol,Sedang,Condongcatur,0.000139
78,Permukiman,2500 - 3000 mm/tahun,"1,44 - 2,27 km/km²",0 - 25 m,100 - 200 m, 25 - 45 %,Regosol,Tinggi,Condongcatur,0
79,Perkebunan/Kebun,2500 - 3000 mm/tahun,"1,44 - 2,27 km/km²",25 - 100 m,100 - 200 m, 25 - 45 %,Regosol,Sedang,Condongcatur,0.000083
