No,Tutupan Lahan,Curah Hujan,Kerapatan Sungai,Jarak dari Sungai,Ketinggian Lahan,Kemiringan Lereng,Jenis Tanah,Kelas Bahaya Banjir,Desa/Kelurahan,Luas Km²
154,Perkebunan/Kebun,2000 - 2500 mm/tahun,"<0,62 km/km²",>250m,100 - 200 m,0 - 8 %,Regosol,Sedang,Condongcatur,0.004608
155,Sawah,2000 - 2500 mm/tahun,"<0,62 km/km²",>250m,100 - 200 m,0 - 8 %,Regosol,Sedang,Caturtunggal,0.033773
156,Sawah,2000 - 2500 mm/tahun,"<0,62 km/km²",>250m,100 - 200 m,0 - 8 %,Regosol,Sedang,Maguwoharjo,0.128096
157,Sawah,2000 - 2500 mm/tahun,"<0,62 km/km²",>250m,100 - 200 m,0 - 8 %,Regosol,Sedang,Condongcatur,0.033349
158,Semak Belukar,2000 - 2500 mm/tahun,"<0,62 km/km²",>250m,100 - 200 m,0 - 8 %,Regosol,Sedang,Caturtunggal,0.005519
159,Semak Belukar,2000 - 2500 mm/tahun,"<0,62 km/km²",>250m,100 - 200 m,0 - 8 %,Regosol,Sedang,Maguwoharjo,0.423565
160,Semak Belukar,2000 - 2500 mm/tahun,"<0,62 km/km²",>250m,100 - 200 m,0 - 8 %,Regosol,Sedang,Condongcatur,0.027217
161,Bandar Udara,2000 - 2500 mm/tahun,"<0,62 km/km²",>250m,100 - 200 m,0 - 8 %,Regosol,Tinggi,Maguwoharjo,0.071537
162,Permukiman,2000 - 2500 mm/tahun,"<0,62 km/km²",>250m,100 - 200 m,0 - 8 %,Regosol,Tinggi,Caturtunggal,1.393669
163,Permukiman,2000 - 2500 mm/tahun,"<0,62 km/km²",>250m,100 - 200 m,0 - 8 %,Regosol,Tinggi,Maguwoharjo,0.868938
164,Permukiman,2000 - 2500 mm/tahun,"<0,62 km/km²",>250m,100 - 200 m,0 - 8 %,Regosol,Tinggi,Condongcatur,0.815012
165,Sawah,2000 - 2500 mm/tahun,"<0,62 km/km²",0 - 25 m,100 - 200 m,0 - 8 %,Regosol,Tinggi,Maguwoharjo,0.003119
166,Permukiman,2000 - 2500 mm/tahun,"<0,62 km/km²",0 - 25 m,100 - 200 m,0 - 8 %,Regosol,Tinggi,Condongcatur,0.000071
167,Tegalan/Ladang,2000 - 2500 mm/tahun,"<0,62 km/km²",25 - 100 m,100 - 200 m,0 - 8 %,Regosol,Sedang,Maguwoharjo,0.000813
168,Perkebunan/Kebun,2000 - 2500 mm/tahun,"<0,62 km/km²",25 - 100 m,100 - 200 m,0 - 8 %,Regosol,Sedang,Maguwoharjo,0.000323
169,Sawah,2000 - 2500 mm/tahun,"<0,62 km/km²",25 - 100 m,100 - 200 m,0 - 8 %,Regosol,Tinggi,Maguwoharjo,0.003499
170,Sawah,2000 - 2500 mm/tahun,"<0,62 km/km²",25 - 100 m,100 - 200 m,0 - 8 %,Regosol,Tinggi,Condongcatur,0.000789
171,Semak Belukar,2000 - 2500 mm/tahun,"<0,62 km/km²",25 - 100 m,100 - 200 m,0 - 8 %,Regosol,Sedang,Maguwoharjo,0.000566
172,Permukiman,2000 - 2500 mm/tahun,"<0,62 km/km²",25 - 100 m,100 - 200 m,0 - 8 %,Regosol,Tinggi,Maguwoharjo,0.002307
173,Permukiman,2000 - 2500 mm/tahun,"<0,62 km/km²",25 - 100 m,100 - 200 m,0 - 8 %,Regosol,Tinggi,Condongcatur,0.000679
174,Tegalan/Ladang,2000 - 2500 mm/tahun,"<0,62 km/km²",100 - 250 m,100 - 200 m,0 - 8 %,Regosol,Sedang,Caturtunggal,0.000518
175,Tegalan/Ladang,2000 - 2500 mm/tahun,"<0,62 km/km²",100 - 250 m,100 - 200 m,0 - 8 %,Regosol,Sedang,Maguwoharjo,0.033591
176,Tegalan/Ladang,2000 - 2500 mm/tahun,"<0,62 km/km²",100 - 250 m,100 - 200 m,0 - 8 %,Regosol,Sedang,Condongcatur,0.001338
177,Perkebunan/Kebun,2000 - 2500 mm/tahun,"<0,62 km/km²",100 - 250 m,100 - 200 m,0 - 8 %,Regosol,Sedang,Maguwoharjo,0.004683
178,Sawah,2000 - 2500 mm/tahun,"<0,62 km/km²",100 - 250 m,100 - 200 m,0 - 8 %,Regosol,Tinggi,Caturtunggal,0.000908
179,Sawah,2000 - 2500 mm/tahun,"<0,62 km/km²",100 - 250 m,100 - 200 m,0 - 8 %,Regosol,Tinggi,Maguwoharjo,0.03334
180,Sawah,2000 - 2500 mm/tahun,"<0,62 km/km²",100 - 250 m,100 - 200 m,0 - 8 %,Regosol,Tinggi,Condongcatur,0.007777
181,Semak Belukar,2000 - 2500 mm/tahun,"<0,62 km/km²",100 - 250 m,100 - 200 m,0 - 8 %,Regosol,Sedang,Caturtunggal,0.001483
182,Semak Belukar,2000 - 2500 mm/tahun,"<0,62 km/km²",100 - 250 m,100 - 200 m,0 - 8 %,Regosol,Sedang,Maguwoharjo,0.018456
183,Semak Belukar,2000 - 2500 mm/tahun,"<0,62 km/km²",100 - 250 m,100 - 200 m,0 - 8 %,Regosol,Sedang,Condongcatur,0
184,Bandar Udara,2000 - 2500 mm/tahun,"<0,62 km/km²",100 - 250 m,100 - 200 m,0 - 8 %,Regosol,Tinggi,Maguwoharjo,0.001132
185,Permukiman,2000 - 2500 mm/tahun,"<0,62 km/km²",100 - 250 m,100 - 200 m,0 - 8 %,Regosol,Tinggi,Caturtunggal,0.108998
186,Permukiman,2000 - 2500 mm/tahun,"<0,62 km/km²",100 - 250 m,100 - 200 m,0 - 8 %,Regosol,Tinggi,Maguwoharjo,0.105876
187,Permukiman,2000 - 2500 mm/tahun,"<0,62 km/km²",100 - 250 m,100 - 200 m,0 - 8 %,Regosol,Tinggi,Condongcatur,0.099033
188,Permukiman,2000 - 2500 mm/tahun,"<0,62 km/km²",>250m,>200m,0 - 8 %,Regosol,Tinggi,Condongcatur,0.000413
189,Perkebunan/Kebun,2000 - 2500 mm/tahun,"<0,62 km/km²",0 - 25 m,>200m,0 - 8 %,Regosol,Tinggi,Condongcatur,0.000069
190,Permukiman,2000 - 2500 mm/tahun,"<0,62 km/km²",0 - 25 m,>200m,0 - 8 %,Regosol,Tinggi,Condongcatur,0.000029
191,Permukiman,2000 - 2500 mm/tahun,"<0,62 km/km²",25 - 100 m,>200m,0 - 8 %,Regosol,Tinggi,Condongcatur,0.003158
192,Permukiman,2000 - 2500 mm/tahun,"<0,62 km/km²",100 - 250 m,>200m,0 - 8 %,Regosol,Tinggi,Condongcatur,0.004331
193,Tegalan/Ladang,2000 - 2500 mm/tahun,"<0,62 km/km²",>250m,100 - 200 m,8 - 15 %,Regosol,Sedang,Caturtunggal,0.037277
194,Tegalan/Ladang,2000 - 2500 mm/tahun,"<0,62 km/km²",>250m,100 - 200 m,8 - 15 %,Regosol,Sedang,Maguwoharjo,0.082899
195,Tegalan/Ladang,2000 - 2500 mm/tahun,"<0,62 km/km²",>250m,100 - 200 m,8 - 15 %,Regosol,Sedang,Condongcatur,0.006373
196,Perkebunan/Kebun,2000 - 2500 mm/tahun,"<0,62 km/km²",>250m,100 - 200 m,8 - 15 %,Regosol,Sedang,Caturtunggal,0.00766
197,Perkebunan/Kebun,2000 - 2500 mm/tahun,"<0,62 km/km²",>250m,100 - 200 m,8 - 15 %,Regosol,Sedang,Maguwoharjo,0.055206
198,Perkebunan/Kebun,2000 - 2500 mm/tahun,"<0,62 km/km²",>250m,100 - 200 m,8 - 15 %,Regosol,Sedang,Condongcatur,0.008758
199,Sawah,2000 - 2500 mm/tahun,"<0,62 km/km²",>250m,100 - 200 m,8 - 15 %,Regosol,Sedang,Caturtunggal,0.054585
200,Sawah,2000 - 2500 mm/tahun,"<0,62 km/km²",>250m,100 - 200 m,8 - 15 %,Regosol,Sedang,Maguwoharjo,0.169239
201,Sawah,2000 - 2500 mm/tahun,"<0,62 km/km²",>250m,100 - 200 m,8 - 15 %,Regosol,Sedang,Condongcatur,0.039827
202,Semak Belukar,2000 - 2500 mm/tahun,"<0,62 km/km²",>250m,100 - 200 m,8 - 15 %,Regosol,Sedang,Caturtunggal,0.006426
203,Semak Belukar,2000 - 2500 mm/tahun,"<0,62 km/km²",>250m,100 - 200 m,8 - 15 %,Regosol,Sedang,Maguwoharjo,0.403137
204,Semak Belukar,2000 - 2500 mm/tahun,"<0,62 km/km²",>250m,100 - 200 m,8 - 15 %,Regosol,Sedang,Condongcatur,0.038274
205,Bandar Udara,2000 - 2500 mm/tahun,"<0,62 km/km²",>250m,100 - 200 m,8 - 15 %,Regosol,Sedang,Maguwoharjo,0.07201
206,Permukiman,2000 - 2500 mm/tahun,"<0,62 km/km²",>250m,100 - 200 m,8 - 15 %,Regosol,Sedang,Caturtunggal,1.90058
207,Permukiman,2000 - 2500 mm/tahun,"<0,62 km/km²",>250m,100 - 200 m,8 - 15 %,Regosol,Sedang,Maguwoharjo,0.946523
208,Permukiman,2000 - 2500 mm/tahun,"<0,62 km/km²",>250m,100 - 200 m,8 - 15 %,Regosol,Sedang,Condongcatur,1.05039
209,Perkebunan/Kebun,2000 - 2500 mm/tahun,"<0,62 km/km²",0 - 25 m,100 - 200 m,8 - 15 %,Regosol,Tinggi,Maguwoharjo,0.000041
210,Sawah,2000 - 2500 mm/tahun,"<0,62 km/km²",0 - 25 m,100 - 200 m,8 - 15 %,Regosol,Tinggi,Maguwoharjo,0.003093
211,Permukiman,2000 - 2500 mm/tahun,"<0,62 km/km²",0 - 25 m,100 - 200 m,8 - 15 %,Regosol,Tinggi,Caturtunggal,0.000068
212,Permukiman,2000 - 2500 mm/tahun,"<0,62 km/km²",0 - 25 m,100 - 200 m,8 - 15 %,Regosol,Tinggi,Condongcatur,0.000208
213,Tegalan/Ladang,2000 - 2500 mm/tahun,"<0,62 km/km²",25 - 100 m,100 - 200 m,8 - 15 %,Regosol,Sedang,Maguwoharjo,0.001379
214,Perkebunan/Kebun,2000 - 2500 mm/tahun,"<0,62 km/km²",25 - 100 m,100 - 200 m,8 - 15 %,Regosol,Sedang,Maguwoharjo,0.000264
215,Sawah,2000 - 2500 mm/tahun,"<0,62 km/km²",25 - 100 m,100 - 200 m,8 - 15 %,Regosol,Tinggi,Maguwoharjo,0.004395
216,Sawah,2000 - 2500 mm/tahun,"<0,62 km/km²",25 - 100 m,100 - 200 m,8 - 15 %,Regosol,Tinggi,Condongcatur,0.001432
217,Semak Belukar,2000 - 2500 mm/tahun,"<0,62 km/km²",25 - 100 m,100 - 200 m,8 - 15 %,Regosol,Sedang,Maguwoharjo,0.001301
218,Bandar Udara,2000 - 2500 mm/tahun,"<0,62 km/km²",25 - 100 m,100 - 200 m,8 - 15 %,Regosol,Tinggi,Maguwoharjo,0.000043
219,Permukiman,2000 - 2500 mm/tahun,"<0,62 km/km²",25 - 100 m,100 - 200 m,8 - 15 %,Regosol,Tinggi,Caturtunggal,0.000474
220,Permukiman,2000 - 2500 mm/tahun,"<0,62 km/km²",25 - 100 m,100 - 200 m,8 - 15 %,Regosol,Tinggi,Maguwoharjo,0.002909
221,Permukiman,2000 - 2500 mm/tahun,"<0,62 km/km²",25 - 100 m,100 - 200 m,8 - 15 %,Regosol,Tinggi,Condongcatur,0.002415
222,Tegalan/Ladang,2000 - 2500 mm/tahun,"<0,62 km/km²",100 - 250 m,100 - 200 m,8 - 15 %,Regosol,Sedang,Caturtunggal,0.000092
223,Tegalan/Ladang,2000 - 2500 mm/tahun,"<0,62 km/km²",100 - 250 m,100 - 200 m,8 - 15 %,Regosol,Sedang,Maguwoharjo,0.037173
224,Tegalan/Ladang,2000 - 2500 mm/tahun,"<0,62 km/km²",100 - 250 m,100 - 200 m,8 - 15 %,Regosol,Sedang,Condongcatur,0.004145
225,Perkebunan/Kebun,2000 - 2500 mm/tahun,"<0,62 km/km²",100 - 250 m,100 - 200 m,8 - 15 %,Regosol,Sedang,Maguwoharjo,0.006203
226,Sawah,2000 - 2500 mm/tahun,"<0,62 km/km²",100 - 250 m,100 - 200 m,8 - 15 %,Regosol,Sedang,Caturtunggal,0.001796
227,Sawah,2000 - 2500 mm/tahun,"<0,62 km/km²",100 - 250 m,100 - 200 m,8 - 15 %,Regosol,Sedang,Maguwoharjo,0.035582
228,Sawah,2000 - 2500 mm/tahun,"<0,62 km/km²",100 - 250 m,100 - 200 m,8 - 15 %,Regosol,Sedang,Condongcatur,0.008459
229,Semak Belukar,2000 - 2500 mm/tahun,"<0,62 km/km²",100 - 250 m,100 - 200 m,8 - 15 %,Regosol,Sedang,Caturtunggal,0.000915
230,Semak Belukar,2000 - 2500 mm/tahun,"<0,62 km/km²",100 - 250 m,100 - 200 m,8 - 15 %,Regosol,Sedang,Maguwoharjo,0.019978
231,Semak Belukar,2000 - 2500 mm/tahun,"<0,62 km/km²",100 - 250 m,100 - 200 m,8 - 15 %,Regosol,Sedang,Condongcatur,0.000051
232,Bandar Udara,2000 - 2500 mm/tahun,"<0,62 km/km²",100 - 250 m,100 - 200 m,8 - 15 %,Regosol,Tinggi,Maguwoharjo,0.003867
233,Permukiman,2000 - 2500 mm/tahun,"<0,62 km/km²",100 - 250 m,100 - 200 m,8 - 15 %,Regosol,Tinggi,Caturtunggal,0.141674
234,Permukiman,2000 - 2500 mm/tahun,"<0,62 km/km²",100 - 250 m,100 - 200 m,8 - 15 %,Regosol,Tinggi,Maguwoharjo,0.124895
235,Permukiman,2000 - 2500 mm/tahun,"<0,62 km/km²",100 - 250 m,100 - 200 m,8 - 15 %,Regosol,Tinggi,Condongcatur,0.134672
236,Permukiman,2000 - 2500 mm/tahun,"<0,62 km/km²",>250m,>200m,8 - 15 %,Regosol,Sedang,Condongcatur,0.000833
237,Perkebunan/Kebun,2000 - 2500 mm/tahun,"<0,62 km/km²",0 - 25 m,>200m,8 - 15 %,Regosol,Sedang,Condongcatur,0.000204
238,Permukiman,2000 - 2500 mm/tahun,"<0,62 km/km²",0 - 25 m,>200m,8 - 15 %,Regosol,Tinggi,Condongcatur,0.000249
239,Perkebunan/Kebun,2000 - 2500 mm/tahun,"<0,62 km/km²",25 - 100 m,>200m,8 - 15 %,Regosol,Sedang,Condongcatur,0.000003
240,Permukiman,2000 - 2500 mm/tahun,"<0,62 km/km²",25 - 100 m,>200m,8 - 15 %,Regosol,Tinggi,Condongcatur,0.00304
241,Permukiman,2000 - 2500 mm/tahun,"<0,62 km/km²",100 - 250 m,>200m,8 - 15 %,Regosol,Tinggi,Condongcatur,0.004283
242,Tegalan/Ladang,2000 - 2500 mm/tahun,"<0,62 km/km²",>250m,100 - 200 m,15 - 25 %,Regosol,Sedang,Caturtunggal,0.026391
243,Tegalan/Ladang,2000 - 2500 mm/tahun,"<0,62 km/km²",>250m,100 - 200 m,15 - 25 %,Regosol,Sedang,Maguwoharjo,0.046016
244,Tegalan/Ladang,2000 - 2500 mm/tahun,"<0,62 km/km²",>250m,100 - 200 m,15 - 25 %,Regosol,Sedang,Condongcatur,0.003717
245,Perkebunan/Kebun,2000 - 2500 mm/tahun,"<0,62 km/km²",>250m,100 - 200 m,15 - 25 %,Regosol,Sedang,Caturtunggal,0.003879
246,Perkebunan/Kebun,2000 - 2500 mm/tahun,"<0,62 km/km²",>250m,100 - 200 m,15 - 25 %,Regosol,Sedang,Maguwoharjo,0.026991
247,Perkebunan/Kebun,2000 - 2500 mm/tahun,"<0,62 km/km²",>250m,100 - 200 m,15 - 25 %,Regosol,Sedang,Condongcatur,0.004498
248,Sawah,2000 - 2500 mm/tahun,"<0,62 km/km²",>250m,100 - 200 m,15 - 25 %,Regosol,Sedang,Caturtunggal,0.051891
249,Sawah,2000 - 2500 mm/tahun,"<0,62 km/km²",>250m,100 - 200 m,15 - 25 %,Regosol,Sedang,Maguwoharjo,0.081066
250,Sawah,2000 - 2500 mm/tahun,"<0,62 km/km²",>250m,100 - 200 m,15 - 25 %,Regosol,Sedang,Condongcatur,0.016964
251,Semak Belukar,2000 - 2500 mm/tahun,"<0,62 km/km²",>250m,100 - 200 m,15 - 25 %,Regosol,Rendah,Caturtunggal,0.002708
252,Semak Belukar,2000 - 2500 mm/tahun,"<0,62 km/km²",>250m,100 - 200 m,15 - 25 %,Regosol,Rendah,Maguwoharjo,0.214461
253,Semak Belukar,2000 - 2500 mm/tahun,"<0,62 km/km²",>250m,100 - 200 m,15 - 25 %,Regosol,Rendah,Condongcatur,0.03072
254,Bandar Udara,2000 - 2500 mm/tahun,"<0,62 km/km²",>250m,100 - 200 m,15 - 25 %,Regosol,Sedang,Maguwoharjo,0.060135
255,Permukiman,2000 - 2500 mm/tahun,"<0,62 km/km²",>250m,100 - 200 m,15 - 25 %,Regosol,Sedang,Caturtunggal,1.370009
256,Permukiman,2000 - 2500 mm/tahun,"<0,62 km/km²",>250m,100 - 200 m,15 - 25 %,Regosol,Sedang,Maguwoharjo,0.475031
257,Permukiman,2000 - 2500 mm/tahun,"<0,62 km/km²",>250m,100 - 200 m,15 - 25 %,Regosol,Sedang,Condongcatur,0.658185
258,Perkebunan/Kebun,2000 - 2500 mm/tahun,"<0,62 km/km²",0 - 25 m,100 - 200 m,15 - 25 %,Regosol,Sedang,Maguwoharjo,0.00036
259,Sawah,2000 - 2500 mm/tahun,"<0,62 km/km²",0 - 25 m,100 - 200 m,15 - 25 %,Regosol,Tinggi,Maguwoharjo,0.00058
260,Permukiman,2000 - 2500 mm/tahun,"<0,62 km/km²",0 - 25 m,100 - 200 m,15 - 25 %,Regosol,Tinggi,Caturtunggal,0.000138
261,Permukiman,2000 - 2500 mm/tahun,"<0,62 km/km²",0 - 25 m,100 - 200 m,15 - 25 %,Regosol,Tinggi,Condongcatur,0.000931
262,Tegalan/Ladang,2000 - 2500 mm/tahun,"<0,62 km/km²",25 - 100 m,100 - 200 m,15 - 25 %,Regosol,Sedang,Maguwoharjo,0.002586
263,Perkebunan/Kebun,2000 - 2500 mm/tahun,"<0,62 km/km²",25 - 100 m,100 - 200 m,15 - 25 %,Regosol,Sedang,Maguwoharjo,0.000945
264,Sawah,2000 - 2500 mm/tahun,"<0,62 km/km²",25 - 100 m,100 - 200 m,15 - 25 %,Regosol,Sedang,Maguwoharjo,0.005816
265,Sawah,2000 - 2500 mm/tahun,"<0,62 km/km²",25 - 100 m,100 - 200 m,15 - 25 %,Regosol,Sedang,Condongcatur,0.000999
266,Semak Belukar,2000 - 2500 mm/tahun,"<0,62 km/km²",25 - 100 m,100 - 200 m,15 - 25 %,Regosol,Sedang,Maguwoharjo,0.000439
267,Bandar Udara,2000 - 2500 mm/tahun,"<0,62 km/km²",25 - 100 m,100 - 200 m,15 - 25 %,Regosol,Tinggi,Maguwoharjo,0.000072
268,Permukiman,2000 - 2500 mm/tahun,"<0,62 km/km²",25 - 100 m,100 - 200 m,15 - 25 %,Regosol,Tinggi,Caturtunggal,0.002769
269,Permukiman,2000 - 2500 mm/tahun,"<0,62 km/km²",25 - 100 m,100 - 200 m,15 - 25 %,Regosol,Tinggi,Maguwoharjo,0.001462
270,Permukiman,2000 - 2500 mm/tahun,"<0,62 km/km²",25 - 100 m,100 - 200 m,15 - 25 %,Regosol,Tinggi,Condongcatur,0.003875
271,Tegalan/Ladang,2000 - 2500 mm/tahun,"<0,62 km/km²",100 - 250 m,100 - 200 m,15 - 25 %,Regosol,Sedang,Caturtunggal,0.00011
272,Tegalan/Ladang,2000 - 2500 mm/tahun,"<0,62 km/km²",100 - 250 m,100 - 200 m,15 - 25 %,Regosol,Sedang,Maguwoharjo,0.01909
273,Tegalan/Ladang,2000 - 2500 mm/tahun,"<0,62 km/km²",100 - 250 m,100 - 200 m,15 - 25 %,Regosol,Sedang,Condongcatur,0.00622
274,Perkebunan/Kebun,2000 - 2500 mm/tahun,"<0,62 km/km²",100 - 250 m,100 - 200 m,15 - 25 %,Regosol,Sedang,Maguwoharjo,0.008039
275,Sawah,2000 - 2500 mm/tahun,"<0,62 km/km²",100 - 250 m,100 - 200 m,15 - 25 %,Regosol,Sedang,Caturtunggal,0.001894
276,Sawah,2000 - 2500 mm/tahun,"<0,62 km/km²",100 - 250 m,100 - 200 m,15 - 25 %,Regosol,Sedang,Maguwoharjo,0.015878
277,Sawah,2000 - 2500 mm/tahun,"<0,62 km/km²",100 - 250 m,100 - 200 m,15 - 25 %,Regosol,Sedang,Condongcatur,0.004493
278,Semak Belukar,2000 - 2500 mm/tahun,"<0,62 km/km²",100 - 250 m,100 - 200 m,15 - 25 %,Regosol,Sedang,Caturtunggal,0.000091
279,Semak Belukar,2000 - 2500 mm/tahun,"<0,62 km/km²",100 - 250 m,100 - 200 m,15 - 25 %,Regosol,Sedang,Maguwoharjo,0.010886
280,Semak Belukar,2000 - 2500 mm/tahun,"<0,62 km/km²",100 - 250 m,100 - 200 m,15 - 25 %,Regosol,Sedang,Condongcatur,0.000127
281,Bandar Udara,2000 - 2500 mm/tahun,"<0,62 km/km²",100 - 250 m,100 - 200 m,15 - 25 %,Regosol,Sedang,Maguwoharjo,0.004409
282,Permukiman,2000 - 2500 mm/tahun,"<0,62 km/km²",100 - 250 m,100 - 200 m,15 - 25 %,Regosol,Sedang,Caturtunggal,0.105513
283,Permukiman,2000 - 2500 mm/tahun,"<0,62 km/km²",100 - 250 m,100 - 200 m,15 - 25 %,Regosol,Sedang,Maguwoharjo,0.063307
284,Permukiman,2000 - 2500 mm/tahun,"<0,62 km/km²",100 - 250 m,100 - 200 m,15 - 25 %,Regosol,Sedang,Condongcatur,0.086219
285,Permukiman,2000 - 2500 mm/tahun,"<0,62 km/km²",>250m,>200m,15 - 25 %,Regosol,Sedang,Condongcatur,0.001798
286,Perkebunan/Kebun,2000 - 2500 mm/tahun,"<0,62 km/km²",0 - 25 m,>200m,15 - 25 %,Regosol,Sedang,Condongcatur,0.000214
287,Permukiman,2000 - 2500 mm/tahun,"<0,62 km/km²",0 - 25 m,>200m,15 - 25 %,Regosol,Tinggi,Condongcatur,0.000141
288,Perkebunan/Kebun,2000 - 2500 mm/tahun,"<0,62 km/km²",25 - 100 m,>200m,15 - 25 %,Regosol,Sedang,Condongcatur,0.000062
289,Permukiman,2000 - 2500 mm/tahun,"<0,62 km/km²",25 - 100 m,>200m,15 - 25 %,Regosol,Tinggi,Condongcatur,0.001657
290,Permukiman,2000 - 2500 mm/tahun,"<0,62 km/km²",100 - 250 m,>200m,15 - 25 %,Regosol,Sedang,Condongcatur,0.001443
291,Tegalan/Ladang,2000 - 2500 mm/tahun,"<0,62 km/km²",>250m,100 - 200 m, 25 - 45 %,Regosol,Sedang,Caturtunggal,0.005566
292,Tegalan/Ladang,2000 - 2500 mm/tahun,"<0,62 km/km²",>250m,100 - 200 m, 25 - 45 %,Regosol,Sedang,Maguwoharjo,0.014791
293,Tegalan/Ladang,2000 - 2500 mm/tahun,"<0,62 km/km²",>250m,100 - 200 m, 25 - 45 %,Regosol,Sedang,Condongcatur,0.004699
294,Perkebunan/Kebun,2000 - 2500 mm/tahun,"<0,62 km/km²",>250m,100 - 200 m, 25 - 45 %,Regosol,Sedang,Caturtunggal,0.000858
295,Perkebunan/Kebun,2000 - 2500 mm/tahun,"<0,62 km/km²",>250m,100 - 200 m, 25 - 45 %,Regosol,Sedang,Maguwoharjo,0.003687
296,Perkebunan/Kebun,2000 - 2500 mm/tahun,"<0,62 km/km²",>250m,100 - 200 m, 25 - 45 %,Regosol,Sedang,Condongcatur,0.00039
297,Sawah,2000 - 2500 mm/tahun,"<0,62 km/km²",>250m,100 - 200 m, 25 - 45 %,Regosol,Sedang,Caturtunggal,0.024376
298,Sawah,2000 - 2500 mm/tahun,"<0,62 km/km²",>250m,100 - 200 m, 25 - 45 %,Regosol,Sedang,Maguwoharjo,0.011756
299,Sawah,2000 - 2500 mm/tahun,"<0,62 km/km²",>250m,100 - 200 m, 25 - 45 %,Regosol,Sedang,Condongcatur,0.003267
300,Semak Belukar,2000 - 2500 mm/tahun,"<0,62 km/km²",>250m,100 - 200 m, 25 - 45 %,Regosol,Rendah,Caturtunggal,0.000049
301,Semak Belukar,2000 - 2500 mm/tahun,"<0,62 km/km²",>250m,100 - 200 m, 25 - 45 %,Regosol,Rendah,Maguwoharjo,0.051058
302,Semak Belukar,2000 - 2500 mm/tahun,"<0,62 km/km²",>250m,100 - 200 m, 25 - 45 %,Regosol,Rendah,Condongcatur,0.012976
303,Bandar Udara,2000 - 2500 mm/tahun,"<0,62 km/km²",>250m,100 - 200 m, 25 - 45 %,Regosol,Sedang,Maguwoharjo,0.010851
304,Permukiman,2000 - 2500 mm/tahun,"<0,62 km/km²",>250m,100 - 200 m, 25 - 45 %,Regosol,Sedang,Caturtunggal,0.547296
305,Permukiman,2000 - 2500 mm/tahun,"<0,62 km/km²",>250m,100 - 200 m, 25 - 45 %,Regosol,Sedang,Maguwoharjo,0.093248
306,Permukiman,2000 - 2500 mm/tahun,"<0,62 km/km²",>250m,100 - 200 m, 25 - 45 %,Regosol,Sedang,Condongcatur,0.152224
307,Perkebunan/Kebun,2000 - 2500 mm/tahun,"<0,62 km/km²",0 - 25 m,100 - 200 m, 25 - 45 %,Regosol,Sedang,Maguwoharjo,0.000034
308,Permukiman,2000 - 2500 mm/tahun,"<0,62 km/km²",0 - 25 m,100 - 200 m, 25 - 45 %,Regosol,Tinggi,Caturtunggal,0.000424
309,Permukiman,2000 - 2500 mm/tahun,"<0,62 km/km²",0 - 25 m,100 - 200 m, 25 - 45 %,Regosol,Tinggi,Condongcatur,0.000145
310,Tegalan/Ladang,2000 - 2500 mm/tahun,"<0,62 km/km²",25 - 100 m,100 - 200 m, 25 - 45 %,Regosol,Sedang,Maguwoharjo,0.000543
311,Perkebunan/Kebun,2000 - 2500 mm/tahun,"<0,62 km/km²",25 - 100 m,100 - 200 m, 25 - 45 %,Regosol,Sedang,Maguwoharjo,0.000362
312,Sawah,2000 - 2500 mm/tahun,"<0,62 km/km²",25 - 100 m,100 - 200 m, 25 - 45 %,Regosol,Sedang,Maguwoharjo,0.007612
313,Sawah,2000 - 2500 mm/tahun,"<0,62 km/km²",25 - 100 m,100 - 200 m, 25 - 45 %,Regosol,Sedang,Condongcatur,0.000179
314,Semak Belukar,2000 - 2500 mm/tahun,"<0,62 km/km²",25 - 100 m,100 - 200 m, 25 - 45 %,Regosol,Sedang,Maguwoharjo,0.000003
315,Permukiman,2000 - 2500 mm/tahun,"<0,62 km/km²",25 - 100 m,100 - 200 m, 25 - 45 %,Regosol,Tinggi,Caturtunggal,0.00512
316,Permukiman,2000 - 2500 mm/tahun,"<0,62 km/km²",25 - 100 m,100 - 200 m, 25 - 45 %,Regosol,Tinggi,Condongcatur,0.002099
317,Tegalan/Ladang,2000 - 2500 mm/tahun,"<0,62 km/km²",100 - 250 m,100 - 200 m, 25 - 45 %,Regosol,Sedang,Caturtunggal,0.000108
318,Tegalan/Ladang,2000 - 2500 mm/tahun,"<0,62 km/km²",100 - 250 m,100 - 200 m, 25 - 45 %,Regosol,Sedang,Maguwoharjo,0.000284
319,Tegalan/Ladang,2000 - 2500 mm/tahun,"<0,62 km/km²",100 - 250 m,100 - 200 m, 25 - 45 %,Regosol,Sedang,Condongcatur,0.003083
320,Perkebunan/Kebun,2000 - 2500 mm/tahun,"<0,62 km/km²",100 - 250 m,100 - 200 m, 25 - 45 %,Regosol,Sedang,Maguwoharjo,0.003002
321,Sawah,2000 - 2500 mm/tahun,"<0,62 km/km²",100 - 250 m,100 - 200 m, 25 - 45 %,Regosol,Sedang,Caturtunggal,0.00013
322,Sawah,2000 - 2500 mm/tahun,"<0,62 km/km²",100 - 250 m,100 - 200 m, 25 - 45 %,Regosol,Sedang,Maguwoharjo,0.005016
323,Sawah,2000 - 2500 mm/tahun,"<0,62 km/km²",100 - 250 m,100 - 200 m, 25 - 45 %,Regosol,Sedang,Condongcatur,0.00047
